,mu_bl
A00,0.14365272137400903
A01,0.48476713360540413
A02,0.04145344905294472
A03,0.06724130581544509
A04,-0.009405178667514993
A05,-0.053172119194714554
A06,0.13254194163517402
A07,-0.05999783276501382
A08,0.2025570610892392
A09,0.11344789589775256
A10,0.23599940069608746
A11,0.10146669393559042
A12,0.20556459602329022
A13,0.1187435067140956
A14,0.05002553509816905
A15,0.02929531807290915
A16,0.09683150182653774
A17,0.3594863762534127
A18,0.11417988092945662
A19,0.21741200701341123
A20,-0.012172542315006363
A21,0.04557004553502969
A22,0.1099565425037892
A23,0.27986786087512266
A24,0.00684034892920481
A25,0.19301531820468487
A26,0.1535824338881197
A27,0.10568058138114866
A28,-0.007613279894666175
A29,0.06414864751984939
