,mu_ia
A00,0.4176709825964814
A01,0.7002008814237108
A02,0.10710563511000039
A03,0.004165529988778394
A04,-0.26541401484918886
A05,0.06235764242405624
A06,0.41404823161313625
A07,-0.7549794021193712
A08,0.4536481132577529
A09,0.09417211841164747
A10,0.27340517008152854
A11,0.016730028852308537
A12,-0.10461609307559785
A13,0.39835905471934246
A14,0.24791436931440336
A15,0.28119082558685143
A16,0.056978965194758785
A17,0.3714927885933258
A18,0.04134262362862033
A19,0.18764898513577316
A20,0.06098981310530022
A21,0.21787060731806668
A22,-0.034714100691666555
A23,0.165623186150439
A24,0.23562142946072107
A25,0.2521675636358235
A26,0.1496458177325638
A27,0.33906459075475026
A28,-0.1708353672610025
A29,-0.16525494581761857
